Modelo, Acurácia,Alpha
WiSARD sem Regra,0.8188888888888891,-
WiSARD com Regra,0.800537634408602,10
WiSARD com Regra,0.8027060931899641,60
WiSARD com Regra,0.8041457586618878,110
WiSARD com Regra,0.8032347670250896,160
WiSARD com Regra,0.8032831541218638,210
WiSARD com Regra,0.8032556750298687,260
WiSARD com Regra,0.8028981054787508,310
WiSARD com Regra,0.8025313620071686,360
WiSARD com Regra,0.8019633612106731,410
WiSARD com Regra,0.8020143369175627,460
WiSARD com Regra,0.8023036819811014,510
WiSARD com Regra,0.8019713261648747,560
WiSARD com Regra,0.801665288116901,610
WiSARD com Regra,0.8014925755248338,660
WiSARD com Regra,0.8011804062126642,710
WiSARD com Regra,0.8014695340501793,760
WiSARD com Regra,0.801313514653173,810
WiSARD com Regra,0.80110513739546,860
WiSARD com Regra,0.8010356536502546,910
WiSARD com Regra,0.8012473118279569,960
WiSARD com Regra,0.8014353985321727,1010
WiSARD com Regra,0.8009970674486803,1060
WiSARD com Regra,0.8008944989870657,1110
WiSARD com Regra,0.8006675627240144,1160
WiSARD com Regra,0.8006064516129032,1210
WiSARD com Regra,0.800686517783292,1260
WiSARD com Regra,0.800752688172043,1310
WiSARD com Regra,0.8005670762928828,1360